Altitude (m)	Pressure (Pa)
10820.24608	23286
10813.12935	23309
10809.84687	23318
10790.18066	23374
10827.91746	23252
10835.59631	23221
10823.80686	23267
10823.5329	23279
10816.68691	23300
10806.01904	23369
10790.45347	23410
10795.63857	23398
10768.93082	23497
10723.08493	23650
10734.18287	23601
10737.434	23597
10753.1667	23537
10822.71107	23273
10830.93326	23245
10847.12866	23179
10859.77875	23140
10858.67793	23139
10858.67793	23138
10861.15499	23133
10862.25615	23137
10862.25615	23131
10865.56056	23121
10866.66234	23123
10868.59082	23123
10859.22832	23148
10865.83599	23120
10869.41746	23108
10878.51623	23079
10877.96449	23081
10878.51623	23066
10887.90174	23042
10884.31184	23056
10884.31184	23047
10830.93326	23218
10767.84263	23479
10759.68596	23499
10760.77303	23503
10763.21948	23492
10764.03514	23484
10765.93865	23490
10764.85087	23484
10772.46849	23461
10772.74068	23465
10774.6463	23462
10774.37404	23453
10777.09706	23445
10778.45892	23437
10779.27615	23437
10779.54858	23436
10782.00087	23425
10784.18132	23416
10785.5444	23413
10785.5444	23422
10787.45312	23400
10795.36559	23375
10800.8271	23352
10801.91985	23359
10802.19307	23351
10804.92571	23339
10807.38591	23326
10810.66736	23318
10812.03504	23311
10876.0337	23050
10897.85157	23005
10907.81402	22968
10908.92174	22964
10909.19869	22960
10920.56223	22922
10927.49929	22893
10933.60899	22880
10937.49945	22859
10937.22149	22869
10933.60899	22877
10934.16465	22886
10921.39435	22913
10929.72045	22887
10960.32527	22775
10940.27953	22851
10936.38769	22868
10849.87695	23184
10835.04757	23234
10835.8707	23228
10835.59631	23230
10838.34058	23231
10838.34058	23219
10838.34058	23213
10839.43855	23220
10840.26213	23209
10842.45877	23204
10844.65602	23197
10845.20543	23192
10845.75487	23192
10846.57912	23195
10849.32721	23186
10850.70162	23168
10853.45116	23169
10856.47676	23148
10864.73433	23127
10865.00973	23120
10868.86636	23110
10871.62226	23094
10871.62226	23101
10874.37912	23090
10877.41279	23081
10879.06801	23069
10879.89575	23073
10880.99954	23064
10884.03576	23056
10887.07315	23046
10886.24466	23040
10886.24466	23041
10889.55917	23037
10891.21695	23030
10893.70428	23018
10895.36293	23009
10898.12813	23006
10896.74541	23012
10904.21501	22991
10904.7686	22979
10907.26022	22963
10906.98333	22970
10906.98333	22968
10906.42959	22971
10907.81402	22972
10906.70645	22976
10911.13764	22946
10914.73982	22943
10913.63129	22947
10913.35417	22948
10914.73982	22946
10918.34366	22932
10918.34366	22930
10921.11697	22921
10923.61378	22911
10925.00124	22903
10926.38895	22904
10927.22169	22899
10927.7769	22896
10929.72045	22890
10935.27609	22863
10938.88937	22860
10937.49945	22864
10939.4454	22851
10937.22149	22853
10941.66994	22847
10979.30452	22625
11026.39246	22542
11026.39246	22545
11008.14032	22612
11042.715	22484
10958.09544	22790
10959.76775	22781
10957.81675	22781
10959.48901	22774
10961.71924	22771
10962.2769	22768
10962.2769	22768
10965.06578	22763
10963.67121	22769
10965.06578	22763
10965.34472	22764
11043.27845	22472
11083.671	22338
11095.57432	22296
11089.62039	22314
11087.9201	22333
11114.60057	22235
11117.15987	22220
11116.0223	22229
11105.22364	22262
11099.8299	22280
11076.87724	22367
11071.22028	22299
11038.77196	22482
11032.57976	22528
11020.77188	22593
10991.60974	22674
10991.05	22671
10990.21045	22670
10993.84913	22661
10993.84913	22657
10996.08917	22655
10998.60997	22644
11002.25256	22633
11001.41181	22627
11003.93432	22619
11003.37369	22626
11010.38444	22601
11010.94557	22597
11012.90985	22595
11011.50674	22603
11011.78735	22590
11103.80387	22259
11114.03195	22227
11119.15102	22214
11123.13484	22206
11132.81831	22164
11133.3883	22167
11127.97507	22180
11130.53876	22177
11129.96898	22175
11128.54471	22184
11132.81831	22158
11124.27345	22201
11110.33693	22261
11071.50303	22379
11048.91523	22474
11045.8145	22479
11043.84195	22481
11053.14547	22445
11135.09852	22154
11122.85021	22201
11080.27338	22357
11063.02496	22421
11062.74251	22415
11060.20097	22422
11056.24911	22440
11058.22479	22434
11059.35398	22422
11062.74251	22420
11067.54545	22401
11067.54545	22395
11068.1107	22396
11069.24131	22392
11071.50303	22378
11072.91694	22373
11073.48257	22377
11072.06856	22380
11076.31136	22368
11077.72614	22360
11078.00912	22363
11079.70726	22356
11079.42421	22352
11082.5383	22347
11085.9369	22342
11083.10463	22331
11084.80387	22340
11086.78678	22326
11087.35342	22329
11089.05359	22327
11089.62039	22314
11093.02208	22313
11094.1563	22306
11096.14159	22304
11095.57432	22292
11098.41111	22288
11101.24894	22290
11098.9786	22286
11101.81663	22290
11102.95213	22272
11102.38436	22276
11103.23604	22271
11109.20035	22257
11110.05277	22250
11110.05277	22246
11115.73793	22232
11121.71181	22206
11126.83592	22191
